"country_code","state_code","name","postcode"
"AU","WA","Ejanding","6464"
"AU","NSW","Kariong","2250"
"AU","WA","Yelverton","6280"
"AU","VIC","Crowes","3249"
"AU","QLD","Arkendeith","4806"
"AU","SA","Stockwell","5355"
"AU","TAS","Egg Lagoon","7256"
"AU","TAS","Longley","7150"
"AU","VIC","Drumborg","3304"
"AU","NSW","Limbri","2352"
"AU","NSW","Croki","2430"
"AU","NSW","Kerrabee","2328"
"AU","NSW","Koorainghat","2430"
"AU","QLD","Kin Kora","4680"
"AU","VIC","Epping","3076"
"AU","VIC","Woolamai","3995"
"AU","WA","Greenwood","6024"
"AU","NSW","Gladstone","2440"
"AU","VIC","Regent","3073"
"AU","NSW","Goodooga","2831"
"AU","SA","Seacombe Heights","5047"
"AU","WA","Attadale","6054"
"AU","NSW","Brooklana","2450"
"AU","NSW","Carinda","2831"
"AU","NSW","Edgeroi","2390"
"AU","SA","Dulwich","5065"
"AU","NSW","Brookvale","2100"
"AU","TAS","Inveresk","7248"
"AU","QLD","Silverdale","4307"
"AU","VIC","Drung Drung","3401"
"AU","NSW","Maianbar","2230"
"AU","VIC","Beauchamp","3581"
"AU","VIC","Rathscar","3465"
"AU","NSW","Oatlands","2117"
"AU","TAS","Shorewell","7320"
"AU","NSW","Antiene","2333"
"AU","SA","Karkoo","5607"
"AU","VIC","Wyndham Vale","3024"
"AU","NSW","Batehaven","2536"
"AU","WA","East Perth","6004"
"AU","VIC","Coragulac","3249"
"AU","QLD","Gaythorne","4051"
"AU","NSW","Kiama Heights","2533"
"AU","NSW","Mogo","2536"
"AU","QLD","Crestmead","4132"
"AU","QLD","Cotton Tree","4558"
"AU","TAS","Alberton","7263"
"AU","NSW","Girvan","2425"
"AU","VIC","Mount Pleasant","3350"
"AU","VIC","Chute","3373"
"AU","TAS","Lulworth","7252"
"AU","NSW","Nimbin","2480"
"AU","NSW","Harwood","2465"
"AU","VIC","Fairfield","3078"
"AU","WA","Buniche","6353"
"AU","VIC","Glenormiston","3265"
"AU","NT","Pine Creek","0847"
"AU","WA","New Norcia","6509"
"AU","WA","Unicup","6258"
"AU","WA","Caron","6618"
"AU","TAS","White Hills","7258"
"AU","NT","Gray","0830"
"AU","WA","Corrigin","6375"
"AU","SA","Sandalwood","5309"
"AU","TAS","Sandy Bay","7005"
"AU","VIC","Yallock","3981"
"AU","NSW","Five Dock","2046"
"AU","NSW","Tarago","2580"
"AU","SA","Meribah","5333"
"AU","VIC","Creswick","3363"
"AU","VIC","Greens Creek","3381"
"AU","SA","Brighton","5048"
"AU","WA","Murgoo","6635"
"AU","NSW","Oranmeir","2622"
"AU","VIC","Pinewood","3149"
"AU","WA","Kellerberrin","6410"
"AU","VIC","Hampton North","3188"
"AU","VIC","Camberwell North","3124"
"AU","SA","Hindmarsh West","5007"
"AU","QLD","Coonarr","4670"
"AU","VIC","Watgania","3291"
"AU","NSW","Canobolas","2800"
"AU","VIC","Devon North","3971"
"AU","VIC","Glenaroua","3764"
"AU","NSW","Attunga","2345"
"AU","WA","Wyalkatchem","6485"
"AU","QLD","Molendinar","4214"
"AU","QLD","Cabarlah","4352"
"AU","VIC","Yannathan","3981"
"AU","VIC","Shepherds Flat","3461"
"AU","NSW","Angourie","2464"
"AU","QLD","Mango Hill","4509"
